Row_ID,Order_ID,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Days,Order_Date,Ship_Date,Season,Profit_Margin
1,US-2023-103800,"Standard Class",DP-13000,"Darren Powers",Consumer,"United States",Houston,Texas,77095,Central,OFF-PA-10000174,"Office Supplies",Paper,"Message Book, Wirebound, Four 5 1/2" X 4" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,0.20,5.55,4,2023-01-03,2023-01-07,Winter,0.3374
2,US-2023-112326,"Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-BI-10004094,"Office Supplies",Binders,"GBC Standard Plastic Binding Systems Combs",3.54,2,0.80,-5.49,4,2023-01-04,2023-01-08,Winter,-1.5508
3,US-2023-112326,"Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-LA-10003223,"Office Supplies",Labels,"Avery 508",11.78,3,0.20,4.27,4,2023-01-04,2023-01-08,Winter,0.3625
4,US-2023-112326,"Standard Class",PO-19195,"Phillina Ober","Home Office","United States",Naperville,Illinois,60540,Central,OFF-ST-10002743,"Office Supplies",Storage,"SAFCO Boltless Steel Shelving",272.74,3,0.20,-64.77,4,2023-01-04,2023-01-08,Winter,-0.2375
5,US-2023-141817,"Standard Class",MB-18085,"Mick Brown",Consumer,"United States",Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,"Office Supplies",Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,0.20,4.88,7,2023-01-05,2023-01-12,Winter,0.2497
6,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair",2573.82,9,0.00,746.41,4,2023-01-06,2023-01-10,Winter,0.2900
7,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-AR-10001662,"Office Supplies",Art,"Rogers Handheld Barrel Pencil Sharpener",5.48,2,0.00,1.48,4,2023-01-06,2023-01-10,Winter,0.2701
8,US-2023-106054,"First Class",JO-15145,"Jack O'Briant",Corporate,"United States",Athens,Georgia,30605,South,OFF-AR-10002399,"Office Supplies",Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.00,5.24,1,2023-01-06,2023-01-07,Winter,0.4100
9,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-BI-10004632,"Office Supplies",Binders,"Ibico Hi-Tech Manual Binding System",609.98,2,0.00,274.49,4,2023-01-06,2023-01-10,Winter,0.4500
10,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-FA-10001883,"Office Supplies",Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.00,0.31,4,2023-01-06,2023-01-10,Winter,0.0100
11,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,OFF-PA-10000955,"Office Supplies",Paper,"Southworth 25% Cotton Granite Paper & Envelopes",6.54,1,0.00,3.01,4,2023-01-06,2023-01-10,Winter,0.4602
12,US-2023-130813,"Second Class",LS-17230,"Lycoris Saunders",Consumer,"United States","Los Angeles",California,90049,West,OFF-PA-10002005,"Office Supplies",Paper,"Xerox 225",19.44,3,0.00,9.33,2,2023-01-06,2023-01-08,Winter,0.4799
13,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,"Wireless Extenders zBoost YX545 SOHO Signal Booster",755.96,4,0.00,204.11,4,2023-01-06,2023-01-10,Winter,0.2700
14,US-2023-167199,"Standard Class",ME-17320,"Maria Etezadi","Home Office","United States",Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,"GE 30524EE4",391.98,2,0.00,113.67,4,2023-01-06,2023-01-10,Winter,0.2900
15,US-2023-105417,"Standard Class",VS-21820,"Vivek Sundaresam",Consumer,"United States",Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2" Diameter Chrome Round Wall Clock",76.73,3,0.60,-53.71,5,2023-01-07,2023-01-12,Winter,-0.7000
16,US-2023-105417,"Standard Class",VS-21820,"Vivek Sundaresam",Consumer,"United States",Huntsville,Texas,77340,Central,OFF-BI-10003708,"Office Supplies",Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1"",10.43,7,0.80,-18.25,5,2023-01-07,2023-01-12,Winter,-1.7498
17,US-2023-135405,"Standard Class",MS-17830,"Melanie Seite",Consumer,"United States",Laredo,Texas,78041,Central,OFF-AR-10004078,"Office Supplies",Art,"Newell 312",9.34,2,0.20,1.17,4,2023-01-09,2023-01-13,Winter,0.1253
18,US-2023-135405,"Standard Class",MS-17830,"Melanie Seite",Consumer,"United States",Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,"Memorex Micro Travel Drive 8 GB",31.20,3,0.20,9.75,4,2023-01-09,2023-01-13,Winter,0.3125
19,US-2023-149020,"Standard Class",AJ-10780,"Anthony Jacobs",Corporate,"United States",Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2" Diameter Ridgewood Wall Clock",51.94,1,0.00,21.30,5,2023-01-10,2023-01-15,Winter,0.4101
20,US-2023-149020,"Standard Class",AJ-10780,"Anthony Jacobs",Corporate,"United States",Springfield,Virginia,22153,South,OFF-LA-10004272,"Office Supplies",Labels,"Avery 482",2.89,1,0.00,1.36,5,2023-01-10,2023-01-15,Winter,0.4706
21,US-2023-130092,"First Class",SV-20365,"Seth Vernon",Consumer,"United States",Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0.00,3.08,3,2023-01-11,2023-01-14,Winter,0.3099
22,US-2023-157147,"Standard Class",BD-11605,"Brian Dahlen",Consumer,"United States","San Francisco",California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.00,3,0.15,3.93,5,2023-01-13,2023-01-18,Winter,0.0118
23,US-2023-109232,"Second Class",ND-18370,"Natalie DeCherney",Consumer,"United States","Mount Pleasant","South Carolina",29464,South,FUR-CH-10000422,Furniture,Chairs,"Global Highback Leather Tilter in Burgundy",545.94,6,0.00,87.35,3,2023-01-13,2023-01-16,Winter,0.1600
